company_id,company_name,industry,employee_count,region,customer_since,tier
C_ACME_01,Acme Corporation,Manufacturing,500,North America,2024-02-15,Growth
C_GLOBEX_22,Globex Corporation,Technology,120,Europe,2025-03-10,Starter
C_STARK_44,Stark Industries,Defense & Aerospace,15000,North America,2024-02-01,Enterprise
C_WAYNE_55,Wayne Enterprises,Conglomerate,8000,North America,2023-11-20,Enterprise
C_PIED_99,Pied Piper,Technology,45,North America,2025-06-15,Starter
C_UMBRELLA,Umbrella Corporation,Pharmaceuticals,3500,Europe,2024-05-12,Enterprise
C_HULI_INC,Huli Inc,Financial Services,2200,APAC,2024-08-28,Growth
C_MASSIVE_D,Massive Dynamic,Technology,1800,North America,2024-08-01,Growth
C_OSCORP_0,Oscorp Industries,Biotechnology,900,North America,2025-03-10,Growth
C_VEIDT_ENT,Veidt Enterprises,Energy,4500,Europe,2023-12-01,Enterprise
C_INITECH_1,Initech,Technology,200,North America,2025-09-05,Starter
C_SOYLENT_G,Soylent Corp,Food & Beverage,650,North America,2025-01-20,Growth
C_TYRELL_CP,Tyrell Corporation,Technology,6000,APAC,2024-02-10,Enterprise
C_VANDELAY,Vandelay Industries,Import/Export,80,North America,2025-09-05,Starter
C_ENRON_RIP,Enron Energy,Energy,50,North America,2025-08-20,Starter
C_STERLING,Sterling Cooper,Advertising,400,North America,2024-04-15,Growth
C_STRICKLD,Strickland Propane,Energy,60,North America,2025-10-25,Starter
C_D_MIFFLIN,Dunder Mifflin,Office Supplies,350,North America,2024-12-18,Growth
C_S_VALLEY,Silicon Valley Tech,Technology,90,North America,2025-09-12,Starter
C_BLUTH_CO,Bluth Company,Real Estate,150,North America,2025-02-28,Starter
