ticket_id,company_id,user_id,created_at,resolved_at,status,channel,category,sentiment
T001,C_ENRON_RIP,U_1501,2026-01-07 09:00,,open,chat,billing,Angry
T002,C_ENRON_RIP,U_1501,2026-01-06 14:30,,open,email,billing,Angry
T003,C_ENRON_RIP,U_1502,2026-01-06 10:00,,open,chat,account,Angry
T004,C_ENRON_RIP,U_1501,2026-01-05 16:00,,open,email,billing,Angry
T005,C_ENRON_RIP,U_1501,2026-01-04 11:00,,open,chat,billing,Angry
T006,C_ENRON_RIP,U_1502,2026-01-03 09:30,,open,email,account,Neutral
T007,C_ENRON_RIP,U_1501,2026-01-02 14:00,,open,chat,billing,Angry
T008,C_ENRON_RIP,U_1501,2025-12-28 10:00,,open,email,billing,Angry
T009,C_BLUTH_CO,U_2001,2026-01-07 11:00,,open,chat,bug,Angry
T010,C_BLUTH_CO,U_2002,2026-01-06 15:30,,open,chat,feature_request,Neutral
T011,C_BLUTH_CO,U_2001,2026-01-05 09:00,,open,email,bug,Angry
T012,C_BLUTH_CO,U_2001,2026-01-04 14:00,,open,chat,bug,Angry
T013,C_UMBRELLA,U_601,2026-01-07 10:00,,open,chat,feature_request,Neutral
T014,C_UMBRELLA,U_602,2026-01-06 16:00,,open,email,integration,Neutral
T015,C_UMBRELLA,U_603,2026-01-05 11:30,,open,chat,bug,Neutral
T016,C_UMBRELLA,U_601,2026-01-04 09:00,,open,email,feature_request,Neutral
T017,C_UMBRELLA,U_604,2026-01-03 14:30,,open,chat,integration,Neutral
T018,C_D_MIFFLIN,U_1801,2026-01-06 10:00,,open,chat,bug,Neutral
T019,C_D_MIFFLIN,U_1802,2026-01-05 15:00,,open,email,account,Neutral
T020,C_D_MIFFLIN,U_1801,2026-01-04 11:00,,open,chat,feature_request,Neutral
T021,C_WAYNE_55,U_401,2026-01-07 09:00,,open,email,feature_request,Happy
T022,C_WAYNE_55,U_402,2026-01-06 14:00,,open,chat,integration,Happy
T023,C_INITECH_1,U_1101,2026-01-02 10:00,,open,chat,bug,Neutral
T024,C_INITECH_1,U_1102,2026-01-01 16:00,,open,email,account,Neutral
T025,C_GLOBEX_22,U_201,2026-01-05 11:00,,open,chat,feature_request,Happy
T026,C_MASSIVE_D,U_801,2026-01-03 09:00,,open,email,integration,Neutral
T027,C_SOYLENT_G,U_1201,2026-01-05 14:00,,open,chat,bug,Neutral
T028,C_STERLING,U_1601,2026-01-05 10:00,,open,email,feature_request,Neutral
T029,C_ACME_01,U_101,2025-11-05 09:00,2025-11-06 14:00,resolved,email,account,Neutral
T030,C_STARK_44,U_301,2025-10-15 10:00,2025-10-15 11:30,resolved,chat,onboarding,Neutral
T031,C_PIED_99,U_501,2025-12-01 14:00,2025-12-02 09:00,resolved,email,billing,Neutral
T032,C_HULI_INC,U_701,2025-09-20 11:00,2025-09-20 15:00,resolved,chat,onboarding,Neutral
T033,C_OSCORP_0,U_901,2025-12-10 09:00,2025-12-10 16:00,resolved,chat,integration,Neutral
T034,C_VEIDT_ENT,U_1001,2026-01-06 10:00,2026-01-06 11:00,resolved,email,feature_request,Happy
T035,C_TYRELL_CP,U_1301,2025-10-30 14:00,2025-10-30 15:30,resolved,chat,onboarding,Neutral
T036,C_VANDELAY,U_1401,2026-01-04 09:00,2026-01-04 10:30,resolved,chat,account,Happy
T037,C_STRICKLD,U_1701,2025-12-15 11:00,2025-12-15 14:00,resolved,email,billing,Happy
T038,C_S_VALLEY,U_1901,2025-11-12 10:00,2025-11-12 12:00,resolved,chat,onboarding,Neutral
